item_id,timestamp,open_,high,low,target_value,volume
0,2019-09-13,137.78,138.06,136.57,137.32,16554185.0
1,2019-09-12,137.85,138.42,136.87,137.52,25750600.0
2,2019-09-11,135.91,136.27,135.09,136.12,24726100.0
3,2019-09-10,136.8,136.89,134.51,136.08,28903400.0
4,2019-09-09,139.59,139.75,136.46,137.52,25773900.0
5,2019-09-06,140.03,140.18,138.2,139.1,20824500.0
6,2019-09-05,139.11,140.38,138.76,140.05,26101800.0
7,2019-09-04,137.3,137.69,136.48,137.63,17995900.0
8,2019-09-03,136.61,137.2,135.7,136.04,18869300.0
9,2019-08-30,139.15,139.18,136.27,137.86,23940100.0
10,2019-08-29,137.25,138.44,136.91,138.12,20168700.0
11,2019-08-28,134.88,135.76,133.55,135.56,17393300.0
12,2019-08-27,136.39,136.72,134.66,135.74,23102100.0
13,2019-08-26,134.99,135.56,133.9,135.45,20312600.0
14,2019-08-23,137.19,138.35,132.8,133.39,38508600.0
15,2019-08-22,138.66,139.2,136.29,137.78,18697000.0
16,2019-08-21,138.55,139.49,138.0,138.79,14970300.0
17,2019-08-20,138.21,138.71,137.24,137.26,21170800.0
18,2019-08-19,137.85,138.55,136.89,138.41,24355700.0
19,2019-08-16,134.88,136.46,134.72,136.13,24449100.0
20,2019-08-15,134.39,134.58,132.25,133.68,28074400.0
21,2019-08-14,136.36,136.92,133.67,133.98,32527300.0
22,2019-08-13,136.05,138.8,135.0,138.6,25154600.0
23,2019-08-12,137.07,137.86,135.24,135.79,20476600.0
24,2019-08-09,138.61,139.38,136.46,137.71,23466700.0
25,2019-08-08,136.6,138.99,135.93,138.89,27496500.0
26,2019-08-07,133.79,135.65,131.828,135.28,33414500.0
27,2019-08-06,133.8,135.68,133.21,134.69,32696700.0
28,2019-08-05,133.3,133.93,130.78,132.21,42749600.0
29,2019-08-02,138.09,138.32,135.26,136.9,30791600.0
30,2019-08-01,137.0,140.94,136.93,138.06,40557500.0
31,2019-07-31,140.33,140.49,135.08,136.27,38598800.0
32,2019-07-30,140.14,141.22,139.8,140.35,16846500.0
33,2019-07-29,141.5,141.51,139.37,141.03,16605900.0
34,2019-07-26,140.37,141.68,140.3,141.34,19037600.0
35,2019-07-25,140.43,140.61,139.32,140.19,18356900.0
36,2019-07-24,138.8968,140.74,138.85,140.72,20738300.0
37,2019-07-23,139.76,139.99,138.03,139.29,18034600.0
38,2019-07-22,137.41,139.19,137.33,138.43,25074900.0
39,2019-07-19,140.22,140.67,136.45,136.62,48992400.0
40,2019-07-18,135.55,136.62,134.67,136.42,30808700.0
41,2019-07-17,137.7,137.93,136.22,136.27,20211000.0
42,2019-07-16,138.96,139.05,136.52,137.08,22726100.0
43,2019-07-15,139.44,139.54,138.46,138.9,16651500.0
44,2019-07-12,138.85,139.13,138.01,138.9,18936800.0
45,2019-07-11,138.2,139.22,137.87,138.4,22327900.0
46,2019-07-10,137.13,138.58,137.02,137.85,24204400.0
47,2019-07-09,136.0,136.97,135.8,136.46,19953100.0
48,2019-07-08,136.4,137.1,135.37,136.96,16779700.0
49,2019-07-05,135.94,137.33,135.72,137.06,18141100.0
50,2019-07-03,136.8,137.74,136.295,137.46,13629300.0
51,2019-07-02,136.12,136.59,135.3291,136.58,15237800.0
52,2019-07-01,136.63,136.7,134.97,135.68,22654200.0
53,2019-06-28,134.57,134.6,133.156,133.96,30043000.0
54,2019-06-27,134.14,134.71,133.51,134.15,16557500.0
55,2019-06-26,134.35,135.7327,133.6,133.93,23657700.0
